,Name,Prices,Image URL,SKU
32,"2-1/2"" SS Comp. Only Y-Pipe.  2009-2010 F150 5.4L 3V. Connects to OEM Exhaust.",$889.12,https://kooksheaders.com/imagecache/productLarge/13503100.jpg,35031002
33,"3"" Stainless Catted Y-Pipe. 2014-2019 GM Truck / 2015-2020 SUV 5.3L.","$1,339.22",https://kooksheaders.com/imagecache/productLarge/28603200_0-FLRQ.jpg,86032003
34,"3"" Stainless Competition Only Y-Pipe. 2014-2019 GM Truck / 2015-2020 SUV 5.3L.",$695.27,https://kooksheaders.com/imagecache/productLarge/28603100_0-FLRQ.jpg,86031003
35,"3"" SS Competition Only Y-Pipe. 2009-2013 GM Truck 4.8L/5.3L. Connects to OEM.",$654.11,https://kooksheaders.com/imagecache/productLarge/28553100_0-FLRQ.jpg,85531003
36,"3"" SS Competition Only Y-Pipe. 2015-2020 F150 5.0L 4V. Connects to OEM.",$959.19,https://kooksheaders.com/imagecache/productLarge/coming_soon_copy_32.jpg,36131013
37,"3"" SS Catted Y-Pipe. 2015-2020 F150 5.0L 4V. Connects to OEM.","$1,629.79",https://kooksheaders.com/imagecache/productLarge/13613200-FLRQ.jpg,36132013
38,"3"" Stainless Competition Only Y-Pipe. 2019-2023 GM 1/2 Ton Truck 5.3L.",$695.33,https://kooksheaders.com/imagecache/productLarge/coming_soon_copy_33.jpg,86231003
39,"3"" Stainless Catted Y-Pipe. 2019-2023 GM 1/2 Ton Truck 5.3L.","$1,339.30",https://kooksheaders.com/imagecache/productLarge/coming_soon_copy_34.jpg,86232003
40,"3"" Stainless Competition Only Y-Pipe. 2019-2023 GM 1/2 Ton Truck 6.2L.",$717.96,https://kooksheaders.com/imagecache/productLarge/coming_soon_copy_39.jpg,86331003
41,"3"" Stainless Catted Y-Pipe. 2019-2023 GM 1/2 Ton Truck 6.2L.","$1,361.93",https://kooksheaders.com/imagecache/productLarge/28633200.jpg,86332003
42,"2-1/2"" SS Competition Only Y-Pipe For HEMI Swap. 2007-2018 Jeep Wrangler JK.",$614.05,https://kooksheaders.com/imagecache/productLarge/coming_soon_copy_49.jpg,72031002
43,"3"" SS Competition Only Y-Pipe. 2019-2020 Ram 1500 5.7L.","$1,067.04",https://kooksheaders.com/imagecache/productLarge/coming soon copy.jpg,52031003
44,"3"" SS Catted Y-Pipe. 2019-2020 Ram 1500 5.7L.","$1,626.23",https://kooksheaders.com/imagecache/productLarge/coming soon copy.jpg,52032003
